Word,Chinese Translation
organisation(Am organization),组织，机构
origin,起源，由来
other,别人，别的东西 别的，另外的
otherwise,要不然，否则，另样
ought,应该，应当
our,我们的
ours,我们的（名词性物主代词）
ourselves,我们自己
out,出外；在外,向外；熄
outcome,结果，效果
outdoors,在户外，在野外
outer,外部的，外面的
outgoing,爱交际的，友好的；外向的
outing,郊游，远足
outline,概述，略述
output,产量，输出量
outside,外面 在外面 向外面
outspoken,直率的，坦诚
outstanding,优秀的，杰出的
outward(s),向外的，外出的
oval,椭圆的；卵形的
over,在...上方，越过，遍及 翻倒，遍布，越过，结束
overcoat,大衣
overcome,克服，解决
overhead,在头顶上；架空的
overlook,忽略，不予理会
overweight,太胖的，超重的
owe,欠（债等）
own,自己的 拥有，所有
owner,物主，所有人
ownership,所有制
ox(pl oxen),牛；公牛
oxygen,氧；氧气
pace,步子；节奏
Pacific,太平洋的
pack,包，捆；（猎犬、野兽等的）一群 打包，打行李
package,（尤指包装好或密封的容器）一包，一袋，一盒
packet,小包裹，袋
paddle,桨状物，蹼
page,页，页码
pain,疼痛，疼
painful,使痛的，使痛苦的
paint,油漆 油漆，粉刷，绘画
painter,绘画者，（油）画家
painting,油画，水彩画
pair,一双，一对
palace,宫，宫殿
pale,苍白的，灰白的
pan,平底锅
pancake,薄煎饼
panda,熊猫
panic,惊慌，恐慌
paper,纸；报纸
paperwork,日常文书工作
paragraph,（文章的）段落
parcel,包裹
pardon,原谅，宽恕，对不起
parent,父(母)，双亲
park,公园 停放（汽车）
parking,停车
parrot,鹦鹉
part,部分；成分；角色；部件；零件 分离；分开；分割
participate,参加，参与
particular,特殊的，个别的
partly,部分地，在一定程度上
partner,搭档，合作者
part-time,兼职的，部分时间的
party,聚会，晚会；党派
pass,传，递；经过；通过
passage,（文章等的）一节，一段；通道；走廊
passenger,乘客，旅客
passer-by,过客，过路人
passive,被动的
passport,护照
past,过 过去，昔日，往事 过...，走过某处
patent,专利，专利权
path,小道，小径
patience,容忍；耐心
patient,病人 耐心的
pattern,式样
pause,中止，暂停；停止
pay(paid, paid),付钱，给...报酬 工资
P.E.(缩)=physical education,体育
P.C.(缩)=personal computer,个人电脑
pea,豌豆
peace,和平
peaceful,和平的，安宁的
peach,桃子
pear,梨子，梨树
pedestrian,步行者，行人
pen,钢笔，笔
pencil,铅笔
penny(pl pence),（英）便士；美分
pension,养老金
people,人，人们；人民
pepper,胡椒粉
per,每，每一
percent,百分之...
percentage,百分率
perfect,完美的，极好的
perform,表演，履行；行动
performance,演出，表演
performer,表演者，执行者
perfume,香水
perhaps,可能，或
period,时期，时代
permanent,永久的，固定的
permission,允许，许可，同意
permit,许可，允许；执照 许可，允许；执照
person,人
personal,个人的，私人的
personally,就自己而言
persuade,说服，劝说
pest,害虫
pet,宠物，爱畜
petrol,石油
phenomenon(pl phenomena),现象
phone=telephone,打电话 电话，电话机
photo=photograph,照片
photograph,照片
photographer,摄影师
phrase,短语；习惯用语
physical,身体的；物理的
physical,物理的
physician,（有行医执照的）医生
physicist,物理学家
physics,物理（学）
pianist,钢琴家
piano,钢琴
pick,拾起，采集；挑选
picnic,野餐
picture,图片，画片，照片
pie,甜馅饼
piece,一块（片，张，件...）
pig,猪
pile,堆
pill,药丸，药片
pillow,枕头
pilot,飞行员
pin,别针 别住,钉住
pine,松树
pineapple,菠萝
ping-pong,乒乓球
pink,粉红色的
pint,（液量单位）品脱
pioneer,先锋，开拓者
pipe,管子，输送管
pity,怜悯，同情
pizza,比萨饼
PLA,（缩）人民解放军
place,地方，处所 放置，安置，安排
plain,家常的；普通的
plan,计划，打算
plane,飞机
planet,行星
plant,种植，播种 植物
plastic,塑料的
plate,板；片；牌；盘子；盆子
platform,讲台；（车站的）月台
play,玩；打（球）；游戏；播放 玩耍，戏剧
playground,操场，运动场
playmate,玩伴
pleasant,令人愉快的，舒适的
please,请；使人高兴，使人满意
pleased,高兴的
pleasure,高兴，愉快
plenty,充足，大量
plot,故事情节，密谋
plug,塞子
plus,加上
p.m./pm,P.M./PM,下午，午后
pocket,（衣服的）口袋
poem,诗
poet,诗人
point,指，指向 点；分数
poison,毒药
poisonous,有毒的，致命的
pole,杆，电线杆
police,警察，警务人员
policeman&woman(pl policemen&women),警察&女警察
policy,政策，方针，原则
polish,磨光，擦亮；修改
polite,有礼貌的，有教养的
political,政治的
politician,政治家
politics,政治
pollute,污染
pollution,污染
pond,池塘
pool,水塘，水池
poor,贫穷的；可怜的；不好的,差的
pop=popular,(口语)（音乐、艺术等）大众的，通俗的
popcorn,爆米花
popular,流行的，大众的，受欢迎的
population,人口，人数
pork,猪肉
porridge,稀饭，粥
port,港口，码头
portable,便携的
porter,（火车站或旅馆处的）搬运工
position,位置
positive,乐观的，积极的，正面的，正数的，阳性的
possess,占有；拥有
possession,所有，拥有；财产，所有物
possibility,可能，可能性
possible,可能的
possibly,可能地，也许
post,邮寄，投寄；贴出（布告、通知等） 邮政，邮寄，邮件
postage,邮费
postbox,邮箱
postcard,明信片
postcode,（英）邮政编码
poster,（贴在公共场所的大型）招贴；广告(画)
postman,邮递员
postpone,推迟，延期
pot,锅，壶，瓶，罐
potato,土豆，马铃薯
potential,潜在的，可能的
pound,磅；英镑
pour,倾泻，不断流出
powder,粉，粉末
power,力，动力，电力
powerful,效力大的，强有力的，强大的
practical,实际的，适用的
practice,练习
practise(Am practice),练习，实践
praise,赞扬，表扬
pray,祈祷；祈求
prayer,祈祷
precious,宝贵的，珍贵的
precise,精确的，准确的
predict,预言，预告，预测
prefer,宁愿（选择），更喜欢
preference,选择，趋向
pregnant,怀孕的
prejudice,偏见，成见
premier,首相，总理
preparation,准备
prepare,准备，预备；调制，配制
prescription,处方，药方
present,礼物，赠品 呈现，呈奉
presentation,演示，演出
president,总统；主席
press,压，按 新闻界，出版社
pressure,压迫，压力，压强
pretend,假装，装作
pretty,漂亮的，俊俏的
prevent,防止，预防
preview,预习；试演；预展
previous,先的，前的
price,价格，价钱
pride,自豪，骄傲
primary,初等的；初级的
primitive,原始的，远古的
principle,道德原则，法则
print,印刷
prison,监狱
prisoner,囚犯
private,私人的
privilege,特权
prize,奖赏，奖品
probably,很可能，大概
problem,问题，难题
procedure,程序，手续，步骤
process,过程，加工，处理
produce,生产；制造
product,产品，制品
production,生产；制造
profession,（需要有高等教育学位的）职业（如医生或律师）
professor,教授
profit,利润，收益
programme(Am program),节目；项目
progress,进步，上进 进展；进行
project,工程
promise,答应，允诺
promote,促进，推动，促销，晋升
pronounce,发音
pronunciation,发音
proper,恰当的，合适的
properly,适当地
protect,保护
protection,保护
proud,自豪的；骄傲的
prove,证明
provide,提供
province,省
pub,酒店，酒吧
public,公共的，公众的 公众
publish,出版，发行
pull,拉，拖 拉力，引力
pulse,脉搏，（光、能量、波等的）脉动，搏动
pump,用泵抽水
punctual,准时的
punctuate,加标点
punctuation,标点符号
punish,惩罚，处罚
punishment,惩罚
pupil,（小）学生
purchase,购买
pure,纯的,不掺杂的
purple,紫色的
purpose,目的，意图
purse,钱包
push,推
put(put, put),放，摆
puzzle,难题，（字、画）谜
pyramid,角锥形，金字塔
quake,震动，颤抖
quality,质量，性质
quantity,量，数
quarrel,争吵，吵架
quarter,四分之一，一刻钟
queen,皇后，女王
question,问题 询问
queue,行列，长队
quick,快；敏捷的；急剧的 快地；敏捷地；急剧地
quiet,安静的；寂静的
quilt,被子；被状物
quit,离开，退出，停止
quite,完全，十分
quiz,测验，小型考试
rabbit,兔，家兔
race,种族，民族 赛跑，竞赛
racial,种族的
radiation,放射，放射物
radio,无线电，收音机
radioactive,放射性的
radium,镭
rag,破布，抹布
rail,铁路
railway,铁路；铁道
rain,雨，雨水 下雨
rainbow,虹，彩虹
raincoat,雨衣
rainfall,一场雨；降雨量
rainy,下雨的；多雨的
raise,使升高；饲养
random,随意，未经事先考虑的
range,范围，幅度，程度
rank,职衔，军衔
rapid,快的，迅速的
rare,罕见的，稀有的
rat,老鼠
rate,率，评估，评价
rather,相当，宁可
raw,生的，未煮过的，未加工的
ray,光辉，光线
razor,剃须刀
reach,到达，伸手（脚等）够到
react,回应，反应，起作用
read(read, read),读；朗读
reading,阅读；朗读
ready,准备好的
real,真实的，确实的
reality,现实
realise(Am realize),认识到，实现
really,真正地；到底；确实
reason,理由，原因
reasonable,合乎情理的
rebuild,重建
receipt,收据
receive,收到，得到
receiver,电话听筒
recent,近来的，最近的
reception,接待
receptionist,接待员
recipe,食谱
recite,背诵
recognise(Am recognize),认出
recommend,推荐
record,记录；唱片 录制，记录
recorder,录音机
recover,痊愈；恢复
recreation,娱乐，消遣
recycle,回收；再循环
rectangle,长方形
red,红色 红色的
redirect,使改变，使转移
reduce,减少，缩减
refer,谈到，提到，涉及，有关
referee,裁判，仲裁，调解员
reference,提到，涉及，谈及，参考
reflect,反映，反射
reform,改革，改进，改良
refresh,使恢复精力
refrigerator,冰箱
refuse,拒绝，不愿
regard,把...看作
regards,问候，致意
regardless,不顾，不加理会
register,登记簿，花名册，注册员 登记，注册
regret,可惜，遗憾；痛惜；哀悼
regular,规则的，经常
regulation,规则，规章
reject,拒绝
relate,有关；涉及
relation,关系；亲属
relationship,关系
relative,亲属，亲戚
relax,（使）放松，轻松
relay,接力，接替人，中转 接替，补充；转运
relevant,紧密相关的，切题的
reliable,可信赖的，可依靠的
relief,（痛苦或忧虑的）减轻或解除，减轻痛苦的事物
religion,宗教
religious,宗教的
rely,依赖，依靠
remain,余下，留下 保持，仍是
remark,陈述；话；议论
remember,记得，想起
remind,提醒，使记起
remote,遥远的
remove,移动，拿走，脱掉（衣服等）
rent,租金 租用
repair,修理；修补
repeat,重说，重做
replace,取代
reply,回答，答复
report,报道，报告
reporter,记者，新闻通讯员
represent,代表
representative,典型，有代表性，代表
republic,共和国
reputation,名声，名誉
request,请求，要求的事物
require,需求；要求
requirement,要求，规定，必要条件
rescue,营救，援救
research,研究，调查
resemble,像，看起来像
reservation,预定
reserve,预定，保留
resist,抵抗；挡开
respect,尊敬，尊重
respond,回答，回应，作出反应
responsibility,责任，负责
rest,休息；剩余的部分，其余的人（物） 休息，歇息
restaurant,饭馆，饭店
restrict,限制，约束
result,结果，效果
retell,重讲，重复，复述
retire,退休
return,归还，回，归
reuse,重新使用；循环使用
review,重新调查；回顾；复习 复查；复习；评论
revision,复习，温习
revolution,革命，变革
reward,奖赏；报酬
rewind,回转（磁带等）
rhyme,押韵
rice,稻米；米饭
rich,富裕的，有钱的
rid,使...摆脱
riddle,谜(语)
ride(rode, ridden),骑（马、自行车）；乘车 乘车旅行
right,权利 对的，正确的；右，右边的 正确地，恰恰，完全地
rigid,死板的，僵硬的，固执的
ring(rang, rung),（钟、铃等）响；打电话 电话，铃声；环形物（如环、圈、戒指等）
ring-road,环形公路
ripe,成熟的，熟的
ripen,成熟
rise(rose, risen),上升，上涨
risk,风险，危险
river,江；河；水道；巨流
road,路，道路
roast,烤（肉）
rob,抢夺，抢劫
robot,机器人
rock,岩石，大石头
rocket,火箭
role,角色
roll,滚动，打滚 面包圈，小圆面包；卷状物
roof,屋顶，顶部
room,房间，室；空间；地方
rooster,（美）公鸡
root,根，根源，起源
rope,绳，索
rose,玫瑰花
rot,烂；腐败
rough,粗糙的，粗略的
round,转过来 环绕一周，围着 圆的；球形的
roundabout,绕道的，不直接的；转盘路
routine,常规，正常顺序，乏味，无聊
row,一排，一行，一列；（剧场等）一排（座位）
royal,皇家的，王室的，高贵的
rubber,橡胶；合成橡胶
rubbish,垃圾；废物
rude,无理的,粗鲁的
rugby,（英）橄榄球
ruin,（使）毁坏；（使）毁灭 毁灭
rule,规则，规定 统治；支配
ruler,直尺；统治者
run(ran, run),跑，奔跑；（颜色）褪色
runner,赛跑者；操作者；滑行装置
running,跑步
rush,冲，奔跑
Russia,俄罗斯，俄国
Russian,俄国人的，俄语的 俄国人，俄语
sacrifice,牺牲
sad,（使人）悲伤的
sadness,悲哀，忧伤
safe,安全的 保险柜
safety,安全，保险
sail,航行 航行
sailing,航海
sailor,水手，海员
salad,色拉（西餐中的一种凉拌菜）
salary,薪金，薪水
sale,卖，出售
salesgirl,女售货员
salesman&woman(pl salesmen&women),男&女售货员
salt,盐
salty,盐的，咸的，含盐的
salute,敬礼
same,同样的事 同样的，同一的
sand,沙，沙子
sandwich,三明治（夹心面包片）
satellite,卫星
satisfaction,满意
satisfy,满足，使满意
Saturday,星期六
sauce,酱汁；调味汁
saucer,茶碟，茶托，小圆盘
sausage,香肠，腊肠
save,救，挽救，节省
say(said, said),说，讲
saying,说，俗话，谚语
scan,仔细检查；略读，扫描
scar,伤疤，伤痕
scare,使害怕，使恐惧
scarf,领巾，围巾
scene,（戏剧、电影等的）一场，场景，布景
scenery,风景，景色，风光
sceptical,怀疑的
schedule,计划表，进度表 安排，预定
scholar,学者
scholarship,奖学金
school,学校
schoolbag,书包
schoolboy,男学生
schoolgirl,女学生
schoolmate,同校同学
science,科学，自然科学
scientific,科学的
scientist,科学家
scissors,剪刀，剪子
scold,责骂
score,得分，分数
scores,许多，很多
Scotland,苏格兰
Scottish,苏格兰的
scream,尖叫
screen,幕，荧光屏
sculpture,雕塑（术），雕刻（术），雕刻作品，雕像
sea,海，海洋
seagull,海鸥
seal,海豹
search,搜寻，搜查
seashell,海贝
seaside,海滨
season,季；季节
seat,座位，座
second,秒 第二 第二的
secret,秘密，内情
secretary,秘书；书记
section,段，部分，部门
secure,安全的，可靠的，放心的
security,安全，平安，保安，保护措施
see(saw, seen),看见，看到；领会；拜会
seed,种子
seek,试图；探寻
seem,似乎，好像
seize,抓住(时机等)
seldom,很少，不常
select,选择，挑选，选拔
self,自己，自我，自身
selfish,自私的
sell(sold, sold),卖，售
semicircle,半圆
send(sent, sent),打发，派遣；送，邮寄
senior,年长的，资深的，高年级的 上级，长辈，高年级生
sense,感觉，意识
sensitive,体贴的，善解人意的
sentence,句子
separate,使分开，使分离 单独的，分开的
separation,分离，隔离
September,九月
serious,严肃的；严重的；认真的
servant,仆人，佣人
serve,招待（顾客等），服务
service,服务
session,一场，一节，一段时间
set(set, set),设置（布景，背景） 装备，设备
settle,安家，定居
settlement,新拓居地；（美）部落，村落
settler,移居者，开拓者
seven,七
seventeen,十七
seventh,第七
seventy,七十
several,几个，若干
severe,极为恶劣，十分严重的
sew(sewed, sewn或sewed),缝,缝制；缝补；缝纫
sex,性，性别
shabby,破旧的，破烂的，衣衫褴褛的
shade,阴凉处，树荫
shadow,影子，阴影
shake(shook, shaken),（使）动摇，震动
shall(should),（表示将来）将要，会；...好吗
shallow,浅的，不深的，肤浅的
shame,遗憾的事；羞愧
Shanghai,上海
shape,形状，外形 使成型，制造，塑造
share,分享，共同使用
shark,鲨鱼
sharp,锋利的，尖的
sharpen,（使）变锐利，削尖
sharpener,削尖用的器具
shave(shaved, shaved或shaven),刮（脸，胡子）
shaver,电动剃须刀
she,她
sheep(pl sheep),（绵）羊；羊皮；驯服者
sheet,成幅的薄片，薄板
shelf(pl shelves),架子；搁板；格层；礁；陆架
shell,壳，贝壳；炮弹
shelter,掩蔽；隐蔽处
shine(shone, shone或-d, -d),发光；照耀；杰出；擦亮
ship,船，轮船 用船装运
shirt,男衬衫
shock,使震惊
shoe,鞋
shoot(shot, shot),射击，射中，发射
shooting,射击
shop,商店，车间 买东西
shop assistant,（英）售货员
shopkeeper,店主，零售商人
shopping,买东西
shore,滨，岸
short,短的；矮的
shortcoming,缺点，短处
shortly,不久
shorts,短裤；运动短裤
shot,射击，开枪，开炮，射击声；子弹
should,应当，应该，会 v.aux.（shall的过去时态）
shoulder,肩膀，（道路的）路肩
shout,喊，高声呼喊
show(showed, shown或showed),给...看，出示，显示
shower,阵雨；淋浴
shrink,缩小，收缩
shut(shut, shut),关上，封闭；禁闭；
shy,害羞的
sick,有病的，患病的；（想）呕吐
sickness,疾病
side,边，旁边，面，侧面
sideway,岔路，旁路
sideways,斜向一边的
sigh,叹息；叹气
sight,情景，风景；视力
sightseeing,游览，观光
sign,符号，标记
signal,信号，暗号
signature,签名
significance,重要性，意义
silence,安静，沉默
silent,无声的，无对话的
silk,（蚕）丝，丝织品
silly,傻的，愚蠢的
silver,银
similar,相似的，像
simple,简单的，简易的
simple-minded,纯朴的；头脑简单的
simply,简单地，（加强语气）的确
since,从那时以来 从...以来，...以后，由于
sincerely,真诚地
sing(sang, sung),唱，唱歌
single,单一的，单个的
sink(sank, sunk),下沉；消沉
sir,先生；阁下
sister,姐；妹
sit(sat, sat),坐
situation,形势，情况
six,六
sixth,第六
sixty,六十
sixteen,十六
size,尺寸，大小
skate,溜冰，滑冰
skateboard,冰鞋，滑板
ski,滑雪板；滑雪 滑雪
skill,技能，技巧
skin,皮，皮肤；兽皮
skip,跳来跳去，跳绳
skirt,女裙
sky,天；天空
skyscraper,摩天楼
slave,奴隶
slavery,奴隶制度
sleep(slept, slept),睡觉
sleepy,想睡的，困倦的，瞌睡的
sleeve,袖子，袖套
slice,片，切面（薄）片
slide,幻灯片，滑道 滑行，滑动
slight,轻微的，细小的
slim,苗条的，纤细的
slip,滑动，滑倒；溜走；失误
slow,慢慢的，缓慢的
small,小的，少的
smart,灵巧的，伶俐的；（人、服装等）时髦的，帅的
smell(smelt, smelt或-ed,-ed),嗅，闻到；发气味 气味
smelly,有臭味的，发出臭味的
smile,微笑
smog,烟雾(=smoke+fog)
smoke,烟 冒烟；吸烟
smoke-free,非吸烟的，无烟的
smoker,吸烟者
smooth,光滑的；平坦的
snack,小吃
snake,蛇 v.蛇般爬行；蜿蜒行进
snatch,夺，夺得，夺走
sneaker,（复）轻便运动鞋（美）
sneeze,打喷嚏
snow,雪 下雪
snowy,雪(白)的；下雪的；多(积)雪的
so,如此，这么；非常；同样 因此，所以
soap,肥皂
sob,抽泣
soccer,（英式）足球
social,社会的；社交的
socialism,社会主义
socialist,社会主义的
society,社会
sock,短袜
socket,（电源）插座
sofa,（长）沙发
soft,软的，柔和的
software,软件
soil,土壤，土地
solar,太阳的
soldier,士兵，战士
solid,结实的，固体的 固体
some,一些，若干；有些；某一
somebody,某人；有人；有名气的人
somehow,以某种方式
someone,某一个人
something,某事；某物
sometimes,有时
somewhere,在某处
son,儿子
song,歌唱；歌曲
soon,不久，很快，一会儿
sorrow,悲伤，悲痛
sorry,对不起，抱歉；难过的
sort,把...分类，拣选 种类，类别
so-so,一般；不怎么样；凑合
soul,灵魂；心灵；气魄
sound,听起来；发出声音 声音
soup,汤
sour,酸的
south,南(方)的；向南的；从南来的 南；南方；南风；南部
southeast,东南
southern,南部的，南方的
southwest,西南
souvenir,（旅游）纪念品，纪念物
sow(sowed, sown或sowed),播种
space,空间
spaceship,宇宙飞船
spade,铲子；纸牌中的黑桃
spare,空闲的，多余的，剩余的
sparrow,麻雀，雀型鸟类
speak(spoke, spoken),说，讲；谈话；发言
speaker,演讲人，演说家
spear,矛，枪，梭镖
special,特别的，专门的
specialist,（医学）专家，专科医生；专家；专业人员
speech,演讲
speed,速度 使加速
spell(spelt, spelt),拼写
spelling,拼写，拼读
spend(spent, spent),度过；花费（钱、时间等）
spin,纺，（使）快速旋转；旋转运动
spirit,精神
spiritual,精神的；心灵的
spit,吐唾沫；吐痰
splendid,灿烂的，辉煌的；（口语）极好的
split,撕开；切开
spoken,口语的
spokesman&woman(pl spokesmen&women),发言人&女发言人
sponsor,赞助者，赞助商 赞助
spoon,匙，调羹
spoonful,一匙（的量）
sport,体育运动，锻炼；(复，英)运动会
spot,斑点，污点；场所，地点
spray,水雾，喷雾（器） 喷洒
spread,延伸；展开
spring,春天，春季 泉水，泉
spy,密探，间谍 侦探，刺探
square,广场 平方的；方形的，宽而结实的（体格，肩膀）
squeeze,榨，挤；紧握
squirrel,松鼠
stable,稳固的，牢固的
stadium,（露天）体育场
staff,全体职工（雇员）
stage,舞台；阶段
stain,污点，污渍，染色
stainless,无污点的
stair,楼梯
stamp,邮票
stand(stood, stood),站；立；起立；坐落；经受；持久
standard,标准
star,星，恒星
stare,盯，凝视
start,开始，着手；出发
starvation,饥饿；饿死
starve,饿死
state,状态；情形；国家，（美国的）州
station,站，所，车站；电台
statement,声明，陈述
stationery,文具
statistics,统计数字，统计资料，统计学
statue,雕像
status,身份，地位，职位
stay,停留，逗留，呆
steady,稳固的；平稳的
steak,牛排，肉排，鱼排
steal(stole, stolen),偷，窃取
steam,汽，水蒸气
steel,钢，钢铁
steep,险峻的；陡峭的
step,脚步，台阶，梯级 走；跨步
steward,（火车、飞机、轮船等）男服务员；男乘务员
stewardess,女乘务员，空中小姐
stick(stuck, stuck),粘住，钉住；坚持 木棒（棍），枝条
still,仍然，还
stocking,长统袜
stomach,胃，胃部
stone,石头，石料
stop,停；（停车）站 停，停止，阻止
storage,贮藏；储存
store,商店 储藏，存储
storm,风暴，暴（风）雨
story,故事，小说
stove,（供烹饪用的）火炉，煤炉，电炉
straight,一直的，直的 一直地，直地
strait,海峡
strange,奇怪的，奇特的，陌生的
stranger,陌生人，外人
straw,稻草
strawberry,草莓
stream,小河；溪流
street,街，街道
strength,力量，力气
stress,压力，紧张，强调
strict,严格的，严密的
strike,（钟）鸣；敲（响）；罢工
string,细绳，线，带
strong,强(壮)的；坚固的；强烈的；坚强的
struggle,斗争
stubborn,倔强的，固执的
student,学生
studio,工作室，演播室
study,学习；研究 书房
stupid,愚蠢的，笨的
style,方式，作风，款式
subject,题目；主题；学科；主语；主体
subscribe,订阅，订购（报刊等）
substitute,代替，替换
succeed,成功
success,成功
successful,成功的，有成就的
such,那么 这样的，那样的
suck,吸吮
sudden,突然的
suffer,受苦，遭受
suffering,痛苦，苦难
sugar,糖
suggest,建议，提议
suggestion,建议
suit,一套（衣服）
suitable,合适的，适宜的
suitcase,（旅行用）小提箱，衣箱
suite,套间；组曲
summary,摘要，概要
summer,夏天，夏季
sun,太阳，阳光
sunburnt,晒黑的
Sunday,星期日
sunlight,日光，阳光
sunny,晴朗的；阳光充足的
sunrise,黎明，拂晓
sunset,日落(时分)
sunshine,阳光
super,顶好的，超级的
superior,更胜一筹的
supermarket,超级市场
supper,晚餐，晚饭
supply,供给，供应
support,支持，赞助
suppose,猜想，假定，料想
sure,确信，肯定 确信，肯定
surface,表面
surgeon,外科医生
surplus,过剩，剩余
surprise,使惊奇，使诧异 惊奇，诧异
surround,围绕；包围
surrounding,周围的
survival,存活，幸存
survive,存活，幸存
suspect,犯罪嫌疑人
suspension,暂令停职，暂停，延期
swallow,吞下；咽下
swap,交换（东西）
swear(swore, sworn),发誓
sweat,汗，汗水
sweater,厚运动衫，毛衣
sweep(swept, swept),扫除，扫
sweet,甜的；新鲜的；可爱的；亲切的 糖果
swell(swelled, swollen),肿胀
swift,快的，迅速的
swim(swam, swum),游泳，游
swimming,游泳
swimming pool,游泳池
swing,挥舞，摆动 秋千
switch,开关，电闸，改变
sword,剑，刀
symbol,象征
sympathy,同情
symphony,交响乐
symptom,症状
system,体系；系统
table,桌子，表格
table tennis,乒乓球
tablet,药片
tail,（动物的）尾巴
tailor,裁缝
take(took, taken),拿；拿走；做；服用；乘坐；花费
tale,故事，传说
talent,天才，天赋
talk,谈话，讲话，演讲；交谈
tall,高的
tank,储水容量；坦克
tap,（自来水、煤气等的）龙头
tape,磁带；录音带
target,目标，靶子
task,任务，工作
taste,品尝，尝味；味道
tasteless,无滋味的
tasty,味道好的
tax,税，税款
tax-free,免税的
taxi,出租汽车
taxpayer,纳税人
tea,茶；茶叶
teach(taught, taught),教书，教
teacher,教师，教员
team,队，组
teamwork,合作，协同工作
teapot,茶壶
tear ^1^,眼泪
tear ^2^(tore, torn),扯破，撕开
technical,技术的，工艺的
technique,技术；技巧，方法
technology,技术
teenager,（13～19岁的）青少年，十几岁的少年
telegram,电报
telegraph,（一份）电报，（指通信方式）电报（多指用电信号传递文字信息）
telephone,电话 打电话
telescope,望远镜
television,电视
tell(told, told),告诉；讲述；吩咐
temperature,温度
temple,庙宇，寺院
temporary,短暂的，暂时的
ten,十
tend,往往会，常常就，倾向于，趋于
tendency,倾向，偏好，性情
tennis,网球
tense,心烦意乱的，紧张的
tension,紧张局势，矛盾
tent,帐篷
tentative,不确定的，暂定的
term,学期；术语；条款；项
terminal,终点站，终端
terrible,可怕的；糟糕的
terrify,使人感到恐怖
terror,恐怖，惊恐
test,测试，考查，试验
text,文本，课文
textbook,课本，教科书
than,比
thank,感谢，致谢，道谢
thankful,感谢的，感激的
that,那，那个
the,这（那）个，这（那）些
theatre(Am theater),剧场，戏院
theft,盗窃案
their,他(或她、它)们的
theirs,他们的（名词性物主代词）
them,他/她/它们（宾格）
theme,主题
themselves,他/她/它们自己
then,当时，那时；然后；那么（通常用于句首或句尾）
theory,理论
there,那!你瞧（表示引起注意） 那里，那儿
therefore,因此，所以
these,这些
they,他（她）们；它们；人们
thick,厚的
thief(pl thieves),窃贼，小偷
thin,薄的；瘦的；稀的
thing,东西；(复)物品，用品；事情，事件
think(thought, thought),想；认为；考虑
thinking,思索；见解；想法
third,第三
thirst,渴；口渴
thirsty,渴
thirteen,十三
thirty,三十
this,这，这个
thorough,彻底的
those,那些
though,虽然，可是
thought,思考，思想；念头
thousand,千
thread,线
three,三
thrill,使激动，使胆战心惊
thriller,惊险小说
throat,喉咙
through,穿（通）过；从始至终 穿（通）过；自始至终
throughout,遍及，贯穿
throw(threw, thrown),投，掷，扔
thunder,雷声，雷
Thursday,星期四
thus,这样；因而
tick,（钟表）滴答声
ticket,票；卷
tidy,弄整洁，弄干净 整洁的，干净的
tie,领带，绳子，结；关系 系，打结
tiger,老虎
tight,紧的
till,直到，直到...为止
time,时间；时期；钟点；次，回
timetable,（火车、公共汽车等）时间表；（学校）课表
tin,（英）罐头，听头
tiny,极小的，微小的
tip,顶端，尖端；告诫；提示 给小费
tire,使疲劳
tired,疲劳的，累的
tiresome,令人厌倦的
tissue,（动植物的）组织；纸巾
title,标题，题目
to,给；对，向，到；在...之前
toast,烤面包（片）
tobacco,烟草，烟叶
today,今天；现在，当前
together,一起，共同
toilet,厕所
tolerate,容许，允许，忍受
tomato,西红柿，番茄
tomb,坟墓
tomorrow,明天
ton,（重量单位）吨
tongue,舌，舌头
tonight,今晚，今夜
too,也，还；又；太，过分；很，非常
tool,工具，器具
tooth(pl teeth),牙齿
toothache,牙痛
toothbrush,牙刷
toothpaste,牙膏
top,顶部，（物体的）上面
topic,题目，话题
tortoise,乌龟
total,总数的；总括的；完全的，全然的 合计，总计
totally,总合地，完全地
touch,触摸，接触
tough,坚硬的；结实的；棘手的，难解的
tour,参观，观光，旅行
tourism,旅游业；观光
tourist,旅行者，观光者
tournament,联赛，比赛
toward(s),向，朝，对于
towel,毛巾
tower,塔
town,城镇，城
toy,玩具，玩物
track,轨道；田径
tractor,拖拉机
trade,贸易 用...进行交换
tradition,传统
traditional,传统的
traffic,交通，来往车辆
train,火车 培训，训练
trainer,训练人；教练
training,培训
tram,有轨电车
transform,使改变形态，使改观
translate,翻译
translation,翻译；译文
translator,翻译家，译者
transparent,透明的
transport,运输
trap,陷阱 使陷入困境
travel,旅行
traveler,旅行者
treasure,财宝，财富
treat,对待，看待
treatment,治疗，疗法
tree,树
tremble,颤抖
trend,趋势，倾向，动态
trial,审判；试验；试用
triangle,三角
trick,诡计，把戏
trip,旅行，旅程
trolley bus,无轨电车
troop,部队
trouble,使苦恼，使忧虑，使麻烦 问题，疾病，烦恼，麻烦
troublesome,令人烦恼的；讨厌的
trousers,裤子，长裤
truck,卡车，运货车；车皮 v.装车；用货车运
true,真的，真实的；忠诚的
truly,真正地，真实地
trunk,树干；大箱子
trust,相信，信任，信赖
truth,真理，事实，真相，实际情况
try,试，试图，努力
T-shirt,T恤衫
tube,管，管状物
Tuesday,星期二
tune,曲调，曲子
turkey,火鸡
